project_id, client_id, task_ids                        , project_name              , start_date, end_date  , budget, status     , progress, manager        , team_size, technology_stack                                     , risks
P001      , C001     , "[""T001"", ""T002"", ""T003""]", TechCorp Dashboard        , 2025-06-01, 2025-09-01,  75000, active     , 35%     , John Smith     ,         3, "[""React"", ""Node.js"", ""PostgreSQL""]"           , low
P002      , C002     , "[""T004"", ""T012"", ""T021""]", Finance Security Suite    , 2025-05-15, 2025-11-15, 120000, active     , 20%     , Sarah Johnson  ,         5, "[""Java"", ""Spring"", ""Oracle""]"                 , high
P003      , C003     , "[""T005"", ""T014"", ""T016""]", Healthcare Management     , 2025-06-10, 2025-10-10,  95000, active     , 45%     , Mike Davis     ,         4, "[""Python"", ""Django"", ""MySQL""]"                , medium
P004      , C004     , "[""T024"", ""T027""]"          , RetailMax E-commerce      , 2025-07-01, 2025-12-01,  60000, pending    , 0%      , Emily Wilson   ,         2, "[""Vue.js"", ""Express"", ""MongoDB""]"             , medium
P005      , C005     , "[""T001"", ""T006"", ""T013""]", StartupHub MVP            , 2025-06-20, 2025-08-20,  45000, active     , 60%     , David Brown    ,         3, "[""React"", ""FastAPI"", ""PostgreSQL""]"           , low
P006      , C006     , "[""T007"", ""T022"", ""T026""]", Manufacturing Analytics   , 2025-05-01, 2025-09-01,  85000, in-progress, 70%     , Lisa Garcia    ,         4, "[""Python"", ""Apache Spark"", ""Redis""]"          , medium
P007      , C007     , "[""T008"", ""T025""]"          , EduTech Platform          , 2025-06-15, 2025-09-15,  55000, active     , 25%     , Tom Anderson   ,         2, "[""Angular"", ""Node.js"", ""MongoDB""]"            , low
P008      , C008     , "[""T011"", ""T015"", ""T029""]", Logistics Fleet System    , 2025-07-10, 2025-12-10,  70000, pending    , 0%      , Amy Taylor     ,         3, "[""React Native"", ""Express"", ""PostgreSQL""]"    , high
P009      , C009     , "[""T009"", ""T023"", ""T028""]", FoodieApp Mobile          , 2025-06-05, 2025-08-05,  40000, active     , 80%     , Chris Martinez ,         2, "[""React Native"", ""Firebase""]"                   , low
P010      , C010     , "[""T010"", ""T018"", ""T019""]", Real Estate CRM           , 2025-06-25, 2025-10-25,  65000, active     , 40%     , Jessica Lee    ,         3, "[""Vue.js"", ""Laravel"", ""MySQL""]"               , medium
P011      , C011     , "[""T012"", ""T026"", ""T030""]", Medical Research Platform , 2025-04-01, 2025-12-01, 150000, in-progress, 30%     , Robert Kim     ,         6, "[""Python"", ""Django"", ""PostgreSQL"", ""R""]"    , high
P012      , C012     , "[""T013"", ""T014"", ""T016""]", Smart Home IoT            , 2025-06-01, 2025-12-01,  80000, active     , 25%     , Maria Rodriguez,         4, "[""Node.js"", ""MQTT"", ""InfluxDB""]"              , medium
P013      , C013     , "[""T017"", ""T020"", ""T026""]", Portfolio Analytics       , 2025-07-01, 2025-12-01,  90000, pending    , 0%      , Kevin White    ,         4, "[""Python"", ""Pandas"", ""PostgreSQL""]"           , medium
P014      , C014     , "[""T008"", ""T024"", ""T028""]", Travel Planning App       , 2025-06-15, 2025-09-15,  50000, active     , 55%     , Laura Thompson ,         3, "[""Flutter"", ""Firebase""]"                        , low
P015      , C015     , "[""T022"", ""T029""]"          , Fitness Tracker           , 2025-06-20, 2025-08-20,  35000, active     , 70%     , James Wilson   ,         2, "[""React Native"", ""Node.js"", ""MongoDB""]"       , low
P016      , C016     , "[""T003"", ""T007"", ""T024""]", BookStore Management      , 2025-05-20, 2025-09-20,  55000, in-progress, 50%     , Rachel Green   ,         3, "[""PHP"", ""Laravel"", ""MySQL""]"                  , medium
P017      , C017     , "[""T005"", ""T014"", ""T023""]", Auto Repair System        , 2025-07-15, 2025-12-15,  70000, pending    , 0%      , Daniel Clark   ,         3, "[""Java"", ""Spring Boot"", ""PostgreSQL""]"        , medium
P018      , C018     , "[""T004"", ""T009"", ""T012""]", Legal Case Management     , 2025-06-01, 2025-12-01, 100000, active     , 35%     , Ashley Davis   ,         5, "[""C#"", "".NET"", ""SQL Server""]"                 , high
P019      , C019     , "[""T021"", ""T027"", ""T023""]", Event Management          , 2025-06-10, 2025-09-10,  45000, active     , 60%     , Ryan Martinez  ,         2, "[""Vue.js"", ""Express"", ""MongoDB""]"             , low
P020      , C020     , "[""T011"", ""T013"", ""T026""]", Construction PM           , 2025-05-01, 2025-12-01,  95000, in-progress, 40%     , Stephanie Brown,         5, "[""React"", ""Node.js"", ""PostgreSQL""]"           , high
P021      , C021     , "[""T023"", ""T005""]"          , Pet Care Appointments     , 2025-06-25, 2025-08-25,  30000, active     , 75%     , Mark Johnson   ,         2, "[""PHP"", ""MySQL""]"                               , low
P022      , C022     , "[""T001"", ""T027""]"          , Photography Portfolio     , 2025-05-01, 2025-06-01,  25000, completed  , 100%    , Nicole Taylor  ,         1, "[""WordPress"", ""PHP""]"                           , low
P023      , C023     , "[""T010"", ""T026"", ""T029""]", Consulting CRM            , 2025-07-01, 2025-12-01, 110000, active     , 15%     , Brandon Lee    ,         4, "[""Salesforce"", ""Apex"", ""Lightning""]"          , medium
