rule_id, rule_name               , rule_type   , conditions                                                                                                                                         , actions                                                                                                                        , priority, status, created_date, description
R001   , High Priority Task Rule , priority    , "[{""field"": ""priority"", ""operator"": ""equals"", ""value"": ""high""}]"                                                                       , "[{""action"": ""assign_experienced_worker"", ""params"": {""min_experience"": 5}}]"                                           ,        1, active, 2025-06-01  , Assign experienced workers to high priority tasks
R002   , Phase 2 Duration Rule   , validation  , "[{""field"": ""phase"", ""operator"": ""equals"", ""value"": 2}, {""field"": ""duration"", ""operator"": ""greater_than"", ""value"": 3}]"        , "[{""action"": ""flag_for_review"", ""params"": {""reason"": ""Long duration in phase 2""}}]"                                  ,        2, active, 2025-06-02  , Flag tasks in phase 2 with duration > 3 hours
R003   , JSON Validation Rule    , data_quality, "[{""field"": ""skills"", ""operator"": ""is_json"", ""value"": true}]"                                                                            , "[{""action"": ""fix_json_format"", ""params"": {""auto_fix"": true}}]"                                                        ,        3, active, 2025-06-03  , Automatically fix malformed JSON in skills field
R004   , Missing Rate Rule       , data_quality, "[{""field"": ""hourly_rate"", ""operator"": ""is_empty"", ""value"": true}]"                                                                      , "[{""action"": ""flag_missing_data"", ""params"": {""field"": ""hourly_rate""}}]"                                              ,        2, active, 2025-06-04  , Flag workers with missing hourly rate
R005   , Co-run Task Rule        , assignment  , "[{""field"": ""task_id"", ""operator"": ""in"", ""value"": [""T001"", ""T002""]}]"                                                                , "[{""action"": ""assign_same_worker"", ""params"": {""task_group"": ""frontend_backend""}}]"                                   ,        1, active, 2025-06-05  , Assign T001 and T002 to the same worker
R006   , Skill Matching Rule     , assignment  , "[{""field"": ""required_skills"", ""operator"": ""contains"", ""value"": ""React""}]"                                                             , "[{""action"": ""match_worker_skills"", ""params"": {""required_skills"": [""React""]}}]"                                      ,        2, active, 2025-06-06  , Match React tasks with React-skilled workers
R007   , Deadline Priority Rule  , priority    , "[{""field"": ""deadline"", ""operator"": ""within_days"", ""value"": 7}]"                                                                         , "[{""action"": ""increase_priority"", ""params"": {""new_priority"": ""high""}}]"                                              ,        1, active, 2025-06-07  , Increase priority for tasks due within 7 days
R008   , Inactive Worker Rule    , validation  , "[{""field"": ""status"", ""operator"": ""equals"", ""value"": ""inactive""}]"                                                                     , "[{""action"": ""exclude_from_assignment"", ""params"": {""reason"": ""Worker inactive""}}]"                                   ,        1, active, 2025-06-08  , Exclude inactive workers from task assignment
R009   , Large Budget Rule       , validation  , "[{""field"": ""budget"", ""operator"": ""greater_than"", ""value"": 100000}]"                                                                     , "[{""action"": ""require_approval"", ""params"": {""approval_level"": ""senior_manager""}}]"                                   ,        1, active, 2025-06-09  , Require approval for projects with budget > $100k
R010   , Email Validation Rule   , data_quality, "[{""field"": ""email"", ""operator"": ""is_valid_email"", ""value"": true}]"                                                                      , "[{""action"": ""flag_invalid_email"", ""params"": {""auto_fix"": false}}]"                                                    ,        3, active, 2025-06-10  , Flag invalid email addresses
